prediction,price
18260.984250719022,13000
22088.638169907117,21059
22088.638169907117,24393
22088.638169907117,24393
21696.49347713891,25290
21982.17912373744,18904
21982.17912373744,19206
22088.638169907117,17545
22201.79179923255,21240
22088.638169907117,17545
22088.638169907117,17545
17381.762983586304,17998
17381.762983586304,16732
22533.97399826279,27510
20431.987371444957,15314
20431.987371444957,15906
20431.987371444957,16147
20431.987371444957,17028
20431.987371444957,17167
19341.12088169563,15316
22201.79179923255,26540
22201.79179923255,26730
22201.79179923255,22795
22201.79179923255,25412
22201.79179923255,26045
21804.12766774261,22990
11970.648166455649,6451
9542.208408308072,6500
15682.717662759716,13989
9751.277669441055,6877
23020.909950605714,27285
23020.909950605714,27780
23020.909950605714,27780
23020.909950605714,28941
22907.75632128028,29865
23020.909950605714,30980
23020.909950605714,34570
23020.909950605714,28105
23020.909950605714,28255
23020.909950605714,29900
23020.909950605714,25060
22230.129164121685,28588
23020.909950605714,29060
23137.624628474885,28599
23020.909950605714,27560
22907.75632128028,30081
23020.909950605714,26473
23020.909950605714,28860
23020.909950605714,29400
23020.909950605714,27560
27703.450545821186,25010
27703.450545821186,25615
27700.66265975031,28875
27987.961047985693,24625
27987.961047985693,29200
27987.961047985693,30565
28217.829355180296,22930
3799.940618468033,4500
17309.51287843743,26995
22405.71245747109,20500
22301.14843885446,20350
7860.177162756066,7230
13202.159473208267,11999
19341.12088169563,15195
19341.12088169563,13324
19341.12088169563,13495
20197.243257938357,13505
19341.12088169563,13795
19341.12088169563,13855
19341.12088169563,13990
19341.12088169563,14595
19341.12088169563,15190
22187.751061936036,21691
22978.531848420065,22452
22184.026442625567,24195
22978.531848420065,24760
22978.531848420065,24761
22978.531848420065,25886
22978.531848420065,26376
22978.531848420065,26390
22978.531848420065,26390
22978.531848420065,26390
22978.531848420065,26390
22184.026442625567,26580
22978.531848420065,27485
22978.531848420065,27590
22978.531848420065,21567
22978.531848420065,21599
22978.531848420065,22141
22978.531848420065,25731
22187.751061936036,26090
22978.531848420065,26390
22187.751061936036,27590
22187.751061936036,28985
22978.531848420065,17627
22865.378219094633,18945
22865.378219094633,18945
22978.531848420065,21121
22978.531848420065,22295
22187.751061936036,26090
22978.531848420065,26390
22187.751061936036,26690
22978.531848420065,27290
22187.751061936036,27590
22978.531848420065,17406
22978.531848420065,20623
22184.026442625567,22345
22978.531848420065,24590
22978.531848420065,26490
22187.751061936036,16713
22187.751061936036,17284
22978.531848420065,21690
22978.531848420065,21723
22978.531848420065,22215
22865.378219094633,22458
22865.378219094633,22458
22187.751061936036,22890
22187.751061936036,22890
22978.531848420065,22890
22978.531848420065,22930
22978.531848420065,22930
22978.531848420065,22930
22978.531848420065,22930
22187.751061936036,23510
22187.751061936036,23510
22978.531848420065,23550
22978.531848420065,23550
22978.531848420065,23550
22978.531848420065,23550
22187.751061936036,24184
22187.751061936036,25300
22978.531848420065,26090
22187.751061936036,26200
22978.531848420065,26885
22978.531848420065,28495
22187.751061936036,16923
22978.531848420065,22375
22187.751061936036,16085
22187.751061936036,16923
22865.378219094633,25246
22187.751061936036,16085
22184.026442625567,22623
22184.026442625567,22623
22187.751061936036,16085
22184.026442625567,21645
22978.531848420065,27896
22187.751061936036,16085
22978.531848420065,22590
22978.531848420065,24645
22978.531848420065,27485
22187.751061936036,16085
22978.531848420065,23935
22187.751061936036,20793
22187.751061936036,17058
22187.751061936036,26990
22187.751061936036,26390
22187.751061936036,25895
22187.751061936036,26090
22187.751061936036,22086
11677.16319248285,19491
22978.531848420065,24785
22978.531848420065,20774
22230.129164121685,29640
11843.975351770068,8995
13010.378520141292,7950
10878.128526741866,10999
16532.043350222775,14000
16532.043350222775,14606
16668.623707418323,15998
13203.793569547197,8600
10878.128526741866,9824
16843.14586120143,17999
16532.043350222775,10800
16532.043350222775,10500
14068.798590870181,13599
13150.783439631667,10995
10961.698754021885,8971
13628.551145444122,11500
7515.262866791637,8793
16515.748687974683,15499
16515.748687974683,17172
16532.043350222775,14995
13936.973210394981,13102
13628.551145444122,11412
15682.717662759716,13990
12803.552108620035,11990
11143.592568996039,6995
8325.027082881097,7992
11157.892230438756,6597
17713.167204418147,20998
14434.071943608214,19500
11477.937774646874,9950
17313.237497747898,17998
17313.237497747898,19590
17713.167204418147,11950
17826.32083374358,18995
17313.237497747898,16998
17826.32083374358,18995
17826.32083374358,17900
17593.32116052918,17588
17826.32083374358,17500
17713.167204418147,14998
17826.32083374358,17554
17608.603185801516,15998
17313.237497747898,15999
17608.603185801516,18495
17313.237497747898,13275
17309.51287843743,18990
17608.603185801516,16502
17309.51287843743,17500
14729.43763166183,16973
14434.071943608214,15998
14434.071943608214,14734
14729.43763166183,16500
14434.071943608214,14770
14430.347324297743,16000
14729.43763166183,16900
14729.43763166183,12995
14434.071943608214,15150
14434.071943608214,14795
