prediction,trueLabel
52493.60329864130,62985
52493.60329864130,62974
52471.68311319670,44831
52406.09315577530,72900
52406.09315577530,64175
52404.86516538630,70530
52404.86516538630,58815
52404.25117019180,64475
52379.69136241190,55255
52366.256448326700,43995
52235.02900882330,33995
52189.36779994830,67900
52112.87724169280,48995
52103.032749878900,34998
52021.04036472520,31500
51994.54769195620,48999
51918.828463022000,30995
51867.90788304680,60710
51867.90788304680,53210
51867.90788304680,53210
51867.90788304680,53010
51867.90788304680,52490
51867.90788304680,46565
51818.419527467500,48460
51779.51123627030,36245
51735.00298072410,54140
51734.511784568500,59395
51688.39144523980,57605
51687.65465100640,65395
51684.09347887830,77195
51678.55176506360,46345
51666.0959911833,46995
51608.03954981540,35995
51587.624674946400,47440
51587.010679751900,67425
51587.010679751900,48340
51587.010679751900,47695
51586.887880713000,61425
51586.887880713000,57765
51586.887880713000,53210
51586.887880713000,48340
51586.887880713000,48340
51586.887880713000,46840
51586.887880713000,46840
51586.887880713000,46840
51586.887880713000,46195
51586.887880713000,46195
51586.887880713000,45595
51585.16869416840,45440
51575.89104335350,62165
51575.39984719790,62280
51574.589598793800,71373
51554.46477787000,46104
51505.90136953110,46360
51497.367381355200,63250
51405.71503649620,66495
51394.25312562780,63025
51394.25312562780,59755
51394.25312562780,58655
51394.13032658890,55355
51394.13032658890,53745
51394.13032658890,47490
51394.00752755000,56230
51393.88472851110,55355
51393.76192947220,63205
51393.51633139440,47305
51393.39353235550,67540
51392.77953716100,63325
51390.93755157760,63055
51333.513903843900,37998
51327.45803976210,34500
51315.49916136530,79850
51315.49916136530,73530
51315.49916136530,69300
51315.49916136530,68550
51315.49916136530,68550
51315.49916136530,65770
51290.197707062200,63295
51244.040764903600,34995
51242.13973787860,70460
51125.179737372700,26900
51042.841697552500,15990
51027.21675456280,54745
51027.21675456280,54085
50899.71611643040,39995
50865.02892592520,37900
50863.78871534970,55244
50837.27635125470,41233
50817.606223852700,37937
50749.23103142330,73820
50749.23103142330,71525
50749.23103142330,70775
50749.23103142330,69900
50749.23103142330,68925
50749.23103142330,68925
50749.23103142330,67625
50749.23103142330,61425
50749.23103142330,61425
50749.23103142330,61425
50749.23103142330,61425
50749.23103142330,60710
50749.23103142330,60710
50749.23103142330,60710
50749.23103142330,53810
50749.23103142330,53210
50749.23103142330,47625
50749.23103142330,46980
50749.23103142330,46840
50681.56529541970,41995
50649.04229543110,34888
50615.88672816700,40500
50567.47703148800,44950
50508.15080696240,61995
50485.590563621200,35905
50468.93106881940,31500
50466.48008476430,51550
50435.488247844600,42995
50401.86695628440,65430
50401.621358206600,55378
50366.568812970100,26999
50236.12467533570,28999
50171.59342115490,36505
50006.74353717050,51377
49995.48353398910,28995
49928.78697311880,32995
49928.1449458085,62500
49905.466469405800,28650
49884.4535887557,40386
49559.581675495,42167
49552.79386941360,35791
49529.85740098870,26900
49492.648263110400,29999
49413.56180051410,32950
49351.82798214940,38585
49327.10248482850,18995
49179.85248107380,50318
49179.42687013110,41415
49142.319071763600,24990
49052.00237319850,51126
49052.00237319850,50387
49052.00237319850,43639
49033.420016716500,74995
48993.291564378300,41995
48902.07513079250,50850
48862.33412710530,25995
48816.96237913020,41288
48736.23651361270,35900
48728.38272315390,63995
48625.376168397000,46515
48625.376168397000,45365
48625.376168397000,43565
48625.376168397000,40365
48625.376168397000,40365
48619.06275654500,39995
48564.833056151200,48215
48564.7102571123,48815
48564.7102571123,47590
48541.917223692100,76890
48535.21502301950,59894
48511.43864377980,39995
48480.56389516270,41861
48412.5797514975,28002
48307.398633242800,46565
48307.15303516500,45786
48221.344256840500,36987
48210.04425649360,71182
48179.548525367600,50935
48179.548525367600,41628
48179.548525367600,37913
48098.874713952400,55340
48098.874713952400,41005
48098.6291158746,33802
48098.38351779680,41600
48098.137919719,48135
48068.54175831010,38629
48066.69977272660,38629
48066.69977272660,38411
48066.57697368770,40163
48066.33137560990,39342
48066.20857657100,38983
48059.66337059880,42924
48058.926576365400,47692
48056.47059558740,41766
48051.067437875800,42449
48048.77111304720,38641
48028.95741072590,46112
48028.95741072590,45760
48028.95741072590,42374
48015.08492854770,37995
48004.61081344800,63999
48001.17977559360,42988
48001.17977559360,42783
47936.823600067300,64995
47889.31209043120,45665
47889.31209043120,45425
47889.189291392300,45425
47888.698095236700,71380
47876.63674955760,65650
47828.16567493290,59998
47827.78566101790,41338
47826.196085515600,44995
47781.997612699900,31878
47711.99896943260,40305
47711.99896943260,38959
47710.89377808250,51064
47710.77097904360,49130
47710.77097904360,49130
47710.77097904360,44223
47710.77097904360,39131
47710.525380965800,44149
47710.525380965800,38522
47703.71108439850,79439
47692.26098715780,28990
47669.89830450880,47995
47667.55932043900,43495
47611.44957621880,35980
47609.04108774160,56479
47593.31255683110,54995
47588.66727524710,33369
47497.77519236300,75195
47497.77519236300,71380
47497.77519236300,66350
47497.77519236300,63650
47497.77519236300,61590
47497.77519236300,60495
47497.77519236300,58095
47441.84134978180,42380
47441.84134978180,34625
47441.84134978180,34625
47379.30918806620,44480
47364.129034879900,45605
47363.76063776330,38475
47312.38387423600,57995
47297.33009770430,58380
47297.33009770430,58135
47290.47602284980,25695
47282.68164682130,45153
47282.68164682130,45153
47282.4360487435,44617
47282.190450665700,46849
47282.0676516268,46754
47282.0676516268,39814
47275.19090544840,44226
47267.57736503670,43250
47241.50952181770,41499
47237.30135972040,29676
47196.56929420940,44955
47132.952965378200,61290
47101.25803889160,37994
47095.501555417900,26995
46995.98276296810,42999
46803.48188636070,48985
46787.59066048310,55362
46787.59066048310,44867
46769.75595386240,43995
46753.406051348400,55175
46753.16045327060,54955
46669.235656540500,34995
46661.96384826870,55355
46661.96384826870,55355
46660.735857879700,61130
46660.49025980190,53880
46660.24466172410,58745
46659.139470374000,58825
46657.78868094620,58825
46649.33923851600,26995
46603.02037327530,47981
46544.18678929520,45000
46512.40578385560,44495
46474.8705958957,48627
46448.89958734300,36900
46385.35742461430,32983
46382.324986134100,42995
46299.192108864400,33839
46283.128876941900,40995
46154.51114435320,46684
46148.535387236900,12000
46130.70827967050,52940
46130.70827967050,51825
46130.70827967050,45150
46130.70827967050,43405
46052.96863080680,33995
46022.745802440000,50495
46003.42059622540,45755
45978.817917180600,51942
45905.10092984840,47488
45905.10092984840,46360
45869.40632755470,50000
45864.43317878680,48035
45862.49401546940,27995
45825.19544044670,65275
45825.19544044670,60170
45825.19544044670,59920
45825.19544044670,58965
45825.19544044670,57835
45825.19544044670,57770
45825.19544044670,57020
45825.19544044670,54240
45825.19544044670,54240
45825.19544044670,54240
45825.19544044670,54170
45825.19544044670,53640
45825.19544044670,53640
45825.19544044670,53570
45825.19544044670,53570
45825.19544044670,53215
45825.19544044670,53215
45825.19544044670,53215
45825.19544044670,53145
45825.19544044670,52265
45791.368930398,26995
45790.72981566590,34991
45765.266323395400,64405
45765.266323395400,62310
45765.266323395400,62175
45765.266323395400,55070
45765.266323395400,55070
45765.266323395400,55070
45765.266323395400,55070
45764.775127239800,54445
45764.652328200900,63175
45764.652328200900,59285
45733.60317786620,42993
45680.75156432920,63689
45680.38316721250,52887
45680.38316721250,50250
45680.38316721250,49364
45679.523573940200,55191
45665.459899951700,34999
45555.59324176990,25933
45544.06773052280,32781
45542.42518263910,36995
45527.42858104010,39995
45492.95682661860,37845
45464.87448521820,32292
45464.87448521820,32292
45463.76929386810,32261
45460.45371981780,32046
45452.321943383400,35855
45452.321943383400,33535
45406.70655285970,54900
45401.69634661780,42560
45401.69634661780,38420
45401.69634661780,36520
45401.69634661780,36520
45401.69634661780,34515
45400.400273296800,45395
45382.51292697470,40895
45372.07923814330,54767
45371.83364006550,54767
45359.03438701890,35900
45354.518975580700,57673
45345.76250403660,47776
45345.76250403660,37571
45345.76250403660,31813
45345.76250403660,29875
45322.14938654040,56200
45317.45854268310,56444
45283.273933548400,53575
45249.25906286130,52150
45249.25906286130,33995
45249.13626382240,48032
45248.76786670570,34995
45248.76786670570,33995
45248.64506766680,33895
45246.925881122200,33595
45246.803082083300,32995
45245.20669457770,33995
45230.715944899400,56925
45200.8754328811,39995
45194.95856644230,64117
45164.72086618970,37814
45164.72086618970,31343
45164.35246907300,32246
45137.01993265330,43995
45103.81377910960,55000
45025.946347565500,52015
44982.92388354890,55995
44970.18736283570,33765
44967.571556199400,49981
44936.9570805623,39995
44905.772963504200,46590
44861.755717633000,54126
44861.755717633000,52698
44861.755717633000,47868
44861.755717633000,47868
44861.755717633000,47868
44861.755717633000,46911
44861.755717633000,46911
44861.755717633000,46806
44861.755717633000,46336
44861.755717633000,46326
44861.755717633000,45688
44850.90513091020,47995
44846.423047282600,47924
44838.029787171400,40995
44775.072007122800,36800
44762.10890912970,45995
44737.90392037560,35999
44711.63915482320,45518
44711.63915482320,44902
44704.29998583850,41359
44668.65660125190,40995
44637.31089671200,62111
44628.49110163270,49900
44608.86853507220,53481
44608.86853507220,52882
44605.078092365900,43301
44568.67580472500,38238
44544.453725818800,46888
44539.56210587990,41225
44538.94811068540,44625
44483.166804375200,45995
44480.652882797500,46359
44470.18429867540,39648
44467.65207389020,34467
44466.44209404330,33999
44449.289168040400,55500
44419.17994518920,45774
44413.85286470530,38329
44410.69891223280,31995
44387.2485578176,44869
44386.88016070090,46849
44386.88016070090,44869
44345.531932800100,31990
44341.59139980720,42500
44327.96454438310,43750
44313.169205791500,20995
44306.92591173330,43490
44306.92591173330,43093
44306.066318461000,43452
44294.856780571100,43474
44294.856780571100,34966
44294.856780571100,33499
44292.23554165870,36499
44281.019644221000,64695
44270.336127836700,60393
44259.149542179300,34988
44255.43036209140,28668
44244.51734977960,44200
44217.16414399320,64823
44211.75139770080,54035
44209.496120067800,27999
44168.001977967700,49155
44145.652552888,46220
44124.45883692330,37995
44099.96467874930,38995
44098.86056310540,30995
44070.79195485140,32775
44043.4961679839,21989
44010.63550855060,35488
43990.24483275210,55085
43990.24483275210,49260
43986.06240288050,38137
43976.05095880070,36991
43949.57785455170,56991
43949.57785455170,39991
43784.48819129350,34267
43784.48819129350,34267
43784.48819129350,34226
43775.5483765416,63888
43758.646620998000,35072
43758.646620998000,33292
43754.46241862580,60255
43754.46241862580,54845
43754.46241862580,52700
43754.46241862580,52660
43754.46241862580,52660
43754.46241862580,49145
43754.46241862580,47600
43733.63381807900,53995
43718.749161662900,50647
43710.45282080730,28302
43709.34762945720,39789
43692.26761537740,51802
43657.88921441690,31995
43655.93901337360,27999
43647.19313511920,27995
43632.42996128030,58300
43627.18416057950,48065
43594.65143982240,42638
43594.65143982240,38187
43594.52864078350,46307
43594.52864078350,43612
43594.52864078350,40677
43594.52864078350,40677
43594.52864078350,37718
43593.42344943340,44527
43586.65082320680,47548
43577.8641055215,42495
43568.01627668850,42842
43568.01627668850,42638
43565.92869302720,40011
