prediction,trueLabel
28.514505491022600,7995
92.83862961301570,8995
125.59877864407400,3995
147.96216823239800,3999
164.4025092877370,6495
232.37173783359400,4699
264.5989080279480,6995
277.7675953929800,4999
314.776690581808,8995
337.8366447462920,4999
392.8960734217820,4444
399.42082952775900,5099
499.0049241048850,13995
524.477179088718,8750
555.5515687932050,5999
569.8073281921800,3799
578.8838426027810,6995
580.9982727757410,4999
588.4696271635440,2999
598.4634425438460,12999
600.8322503289300,3733
626.8947969533090,9995
657.7055321391920,4990
679.8551745763460,2799
724.9776017077470,5250
743.1283057775940,4500
753.3425094044820,2995
759.6825612543500,3455
766.9032068998870,2999
815.86827537934,6999
838.4173924608300,4495
847.9772494882250,4999
968.5907505647130,11995
1010.7986912545700,6495
1047.994288386170,6999
1107.4401345126000,14995
1123.4357709130200,8995
1193.1287351373800,3999
1201.124943702570,5999
1206.7491724263200,4500
1214.2470171223900,2399
1215.4712810529600,3999
1218.022900516550,7895
1241.9905890387400,4450
1315.724103866740,3995
1316.4201323774600,11495
1342.034462672900,4995
1363.7509004620400,4900
1364.2319109906400,7999
1369.0403778149500,8495
1372.8317237455000,4499
1392.0148510463400,8995
1394.1162755527400,7595
1412.2195655367200,5999
1412.3555964249000,6995
1431.945169081690,4499
1475.4041642685600,5995
1475.7236845453000,4999
1513.6547649191700,3495
1555.7128962871400,8999
1557.1134056271600,8999
1559.574122633130,6995
1566.0631046927600,4999
1622.3751695755100,3995
1622.8357177403200,4499
1627.8338205023800,6999
1681.860061767610,3800
1735.363101454490,5999
1822.2828899243900,12242
1833.7175049658100,3499
1862.9132959972700,18900
1863.1464473018000,8999
1869.0224150820400,5000
1976.0928104748500,6999
2004.6422182195900,9496
2033.0343882453000,5999
2036.6397021836800,3099
2054.3924985820400,2995
2102.6627178198100,4000
2117.789681665660,8990
2135.654826811100,5999
2141.183499766340,7995
2159.757047317740,4999
2181.2078970921100,8300
2182.358414544260,8877
2183.6245360224800,8900
2220.999533785630,10495
2251.266041039440,11887
2258.63370296191,10995
2271.9576087607400,2999
2294.274550336250,7999
2305.0683302746800,4999
2317.5109641026,3699
2353.2791092146800,8995
