prediction,price
23913.661704425784,19325
24907.677566114566,26054
24770.631901553097,20425
24770.631901553097,24333
24770.631901553097,23798
24770.631901553097,19190
24770.631901553097,18235
16515.862108739577,6999
16515.862108739577,5900
20618.200725486866,17405
20528.37503314588,19999
19832.157161347663,18500
18204.60741445839,13999
17079.59603151035,13995
23668.384324327584,17340
23668.384324327584,16785
23668.384324327584,17152
23668.384324327584,17156
25395.10225578503,23798
23611.271871599318,16781
23611.271871599318,16781
13155.25256670987,5499
24530.03132174499,9750
24530.03132174499,9909
24530.03132174499,10275
24530.03132174499,11200
24530.03132174499,10699
24530.03132174499,10699
24530.03132174499,9750
24530.03132174499,9755
23719.503587136052,22603
24770.631901553097,19995
24770.631901553097,20010
24770.631901553097,22495
11325.942472816823,4900
14684.602144174447,7515
14684.602144174447,6494
11325.942472816823,4800
20528.37503314588,12013
17946.020553471262,9550
16515.862108739577,10000
12123.106970517158,6495
24907.677566114566,25835
24907.677566114566,29085
24907.677566114566,31465
24907.677566114566,31645
24770.631901553097,37515
24770.631901553097,25959
24770.631901553097,30625
24770.631901553097,21660
24770.631901553097,27390
24770.631901553097,22055
24770.631901553097,21769
24770.631901553097,24490
24770.631901553097,31125
24770.631901553097,35450
24770.631901553097,23595
24770.631901553097,32840
24907.677566114566,30580
24907.677566114566,30580
24770.631901553097,29080
24770.631901553097,26180
24770.631901553097,30580
27141.675345411357,19705
27141.675345411357,20798
27141.675345411357,22453
27141.675345411357,23148
27141.675345411357,25655
27141.675345411357,26335
27141.675345411357,20254
27141.675345411357,20309
27141.675345411357,21878
26643.645955287288,22615
27141.675345411357,23025
27141.675345411357,23025
27141.675345411357,23620
27141.675345411357,23720
9980.789249601867,5999
20786.926639274552,19500
26817.01047806116,21995
15641.80491655129,10484
24907.677566114566,15195
24770.631901553097,15495
24770.631901553097,15495
24907.677566114566,24090
23913.661704425784,25515
24907.677566114566,25590
24907.677566114566,25958
24907.677566114566,28405
24770.631901553097,22830
24770.631901553097,22930
24770.631901553097,24195
24770.631901553097,24195
24770.631901553097,24685
24770.631901553097,25180
24770.631901553097,26490
24770.631901553097,26680
24770.631901553097,26680
24770.631901553097,27986
24770.631901553097,30095
24770.631901553097,22790
24770.631901553097,19856
24770.631901553097,20399
24770.631901553097,21945
24770.631901553097,22295
24770.631901553097,22295
24770.631901553097,22707
24770.631901553097,23581
24770.631901553097,24195
24770.631901553097,24645
24770.631901553097,25140
24770.631901553097,25140
24770.631901553097,26390
24770.631901553097,27015
24770.631901553097,27015
24770.631901553097,27015
24770.631901553097,23618
24770.631901553097,22790
24770.631901553097,24195
24770.631901553097,19649
24770.631901553097,28595
24770.631901553097,28595
24770.631901553097,19159
24770.631901553097,19245
24770.631901553097,19655
24770.631901553097,22790
24770.631901553097,22790
24770.631901553097,24195
24770.631901553097,28595
24770.631901553097,29880
24770.631901553097,22790
24770.631901553097,22790
24770.631901553097,22790
24770.631901553097,24195
24770.631901553097,24195
24770.631901553097,24195
24770.631901553097,24195
24770.631901553097,24195
24770.631901553097,28595
24770.631901553097,22790
24770.631901553097,22790
24770.631901553097,24195
24770.631901553097,22790
24770.631901553097,22790
24770.631901553097,17889
24770.631901553097,26280
24770.631901553097,22295
24770.631901553097,17119
24770.631901553097,24195
24770.631901553097,22790
24770.631901553097,24645
24770.631901553097,24645
24770.631901553097,24685
24770.631901553097,22790
24770.631901553097,22295
24770.631901553097,24195
24770.631901553097,16279
24770.631901553097,24685
24770.631901553097,24195
24770.631901553097,24685
24770.631901553097,24685
24770.631901553097,24685
24770.631901553097,25155
24770.631901553097,24685
24907.677566114566,21300
23913.661704425784,21560
23913.661704425784,21860
23913.661704425784,20745
