prediction,price
16696.59229414911,15000
20113.4746025337,22995
19159.376892385284,17498
18204.60741445839,9995
23719.503587136052,20725
24770.631901553097,23389
18212.00757921939,13998
16515.862108739577,6250
16515.862108739577,16998
20618.200725486866,21879
20618.200725486866,22004
20618.200725486866,21987
20618.200725486866,23771
20618.200725486866,16990
23776.61603986432,15339
23776.61603986432,16203
23776.61603986432,16534
23776.61603986432,16534
23776.61603986432,16829
23776.61603986432,16829
23719.503587136052,18335
23719.503587136052,18015
24907.677566114566,23956
24907.677566114566,23956
24907.677566114566,23956
24907.677566114566,24096
24770.631901553097,25045
24770.631901553097,21985
23719.503587136052,17547
16515.862108739577,7995
10877.879211573181,4295
20528.37503314588,12990
20528.37503314588,13998
19832.157161347663,10950
18204.60741445839,11483
23611.271871599318,17745
23611.271871599318,17730
23611.271871599318,17745
23611.271871599318,18020
23611.271871599318,17540
23611.271871599318,17730
23611.271871599318,19500
23611.271871599318,18015
23611.271871599318,17795
24907.677566114566,26388
24907.677566114566,26955
24907.677566114566,28332
24907.677566114566,31295
23776.61603986432,28506
23776.61603986432,28599
24770.631901553097,29070
24770.631901553097,28972
24770.631901553097,29309
24770.631901553097,19620
24770.631901553097,27065
27141.675345411357,17678
27141.675345411357,17678
27141.675345411357,18593
27141.675345411357,19046
27141.675345411357,19225
27141.675345411357,19225
27141.675345411357,19322
27141.675345411357,19457
27141.675345411357,19457
27141.675345411357,19550
27141.675345411357,29260
27064.35539000614,29550
27064.35539000614,25220
27064.35539000614,23869
27064.35539000614,24375
27064.35539000614,23625
13019.927694129728,7990
16515.862108739577,10990
10877.879211573181,4277
19159.376892385284,22000
11837.397009788894,6950
24907.677566114566,11916
24770.631901553097,16411
23719.503587136052,10565
23776.61603986432,22640
23913.661704425784,14864
23913.661704425784,15354
23913.661704425784,15354
23913.661704425784,15354
23913.661704425784,15354
24907.677566114566,17791
24907.677566114566,19406
24907.677566114566,19900
24907.677566114566,20600
24907.677566114566,20600
24907.677566114566,20983
24724.189439034722,20987
24907.677566114566,21600
24907.677566114566,25331
24907.677566114566,25341
24907.677566114566,26105
24907.677566114566,27367
23776.61603986432,25418
23776.61603986432,26336
23776.61603986432,14557
23776.61603986432,16227
24770.631901553097,19117
24770.631901553097,22650
23776.61603986432,25669
23776.61603986432,14942
23776.61603986432,16221
23776.61603986432,16221
23776.61603986432,26336
23719.503587136052,16227
24770.631901553097,19406
24770.631901553097,20600
24770.631901553097,20983
24770.631901553097,23270
23719.503587136052,16137
23719.503587136052,26889
24770.631901553097,25729
24770.631901553097,28903
24770.631901553097,25715
23719.503587136052,25536
23719.503587136052,26340
24770.631901553097,26585
23719.503587136052,14942
24770.631901553097,24576
23719.503587136052,16444
23719.503587136052,16137
24770.631901553097,24385
23719.503587136052,16487
23719.503587136052,14514
23719.503587136052,14942
24770.631901553097,26145
24770.631901553097,26145
23913.661704425784,21894
23776.61603986432,19160
23776.61603986432,22349
23719.503587136052,21894
23719.503587136052,20295
23719.503587136052,22249
23719.503587136052,17464
11325.942472816823,7000
15558.05856058053,13200
15558.05856058053,15871
15271.03763689921,13621
14562.35701397886,11673
11566.362668273316,8995
11566.362668273316,8750
9980.789249601867,5495
11566.362668273316,11995
16043.831074539867,12900
15756.810150858544,15320
15756.810150858544,11995
15170.374658133782,9995
16043.831074539867,13598
15756.810150858544,12683
11811.714986776158,8800
18204.60741445839,12537
15834.792520161165,6995
12123.106970517158,5525
12123.106970517158,5299
10877.879211573181,4550
17079.59603151035,12495
12123.106970517158,6495
17946.020553471262,15995
17079.59603151035,20500
17079.59603151035,18000
12123.106970517158,8450
10877.879211573181,7975
19832.157161347663,17880
19742.331469006676,18888
19742.331469006676,17500
19248.530816947798,17000
19158.705124606808,18481
19248.530816947798,15998
18204.60741445839,14989
17474.539841595302,12000
17946.020553471262,17395
17946.020553471262,16580
17079.59603151035,17966
17079.59603151035,18990
17079.59603151035,17250
17079.59603151035,18990
17079.59603151035,15497
17079.59603151035,14900
17079.59603151035,15325
16515.862108739577,17990
16515.862108739577,11990
16515.862108739577,15950
16515.862108739577,12995
15929.426616014814,14222
15929.426616014814,8550
15929.426616014814,8295
12363.527165973652,12399
12123.106970517158,12998
12123.106970517158,10995
12123.106970517158,6999
12123.106970517158,5900
10877.879211573181,8465
10877.879211573181,7495
10877.879211573181,5995
10877.879211573181,5995
10877.879211573181,3990
23668.384324327584,25947
23611.271871599318,26782
23611.271871599318,26336
17079.59603151035,13597
17079.59603151035,11950
15929.426616014814,11990
18114.781722117405,14375
17946.020553471262,14990
17079.59603151035,14990
17079.59603151035,13590
17079.59603151035,13995
17079.59603151035,13599
16515.862108739577,13500
17079.59603151035,13950
17079.59603151035,17998
12363.527165973652,15160
20618.200725486866,16990
20528.37503314588,20129
19248.530816947798,19995
18204.60741445839,19695
18204.60741445839,21997
18204.60741445839,14598
18204.60741445839,19995
17946.020553471262,15777
17946.020553471262,13998
17079.59603151035,14400
17079.59603151035,15990
17079.59603151035,15000
17079.59603151035,18777
17079.59603151035,15998
17079.59603151035,14998
17079.59603151035,14600
17079.59603151035,14998
17079.59603151035,17950
17079.59603151035,14900
17079.59603151035,14995
16515.862108739577,16395
16515.862108739577,12960
16515.862108739577,18990
16515.862108739577,17998
15929.426616014814,12995
12363.527165973652,10960
12123.106970517158,10960
12123.106970517158,11560
15929.426616014814,8995
12363.527165973652,8300
12123.106970517158,8395
11979.524700131555,7500
12123.106970517158,9995
10877.879211573181,7900
10952.819960328525,6999
15208.01643819924,19000
14798.88939054663,19787
11015.228040860648,7995
19888.208134992914,23500
23776.61603986432,18477
24770.631901553097,27365
23913.661704425784,17567
23719.503587136052,20015
23719.503587136052,16998
24907.677566114566,27267
23776.61603986432,29270
23719.503587136052,29295
23719.503587136052,29295
23776.61603986432,25234
23776.61603986432,22340
23719.503587136052,21321
23913.661704425784,17381
23913.661704425784,17631
23913.661704425784,17631
23913.661704425784,18367
23913.661704425784,18617
23913.661704425784,18897
23913.661704425784,21445
23913.661704425784,21745
23913.661704425784,21745
23913.661704425784,22740
24907.677566114566,23435
24907.677566114566,26635
24907.677566114566,20954
24907.677566114566,20954
24907.677566114566,21910
23776.61603986432,17015
24770.631901553097,24000
24770.631901553097,26095
23776.61603986432,17015
24770.631901553097,21725
23776.61603986432,20298
24770.631901553097,21967
24770.631901553097,23700
24770.631901553097,24000
24770.631901553097,21785
24770.631901553097,25965
26643.645955287288,16871
26643.645955287288,19371
26643.645955287288,19371
26643.645955287288,19371
26643.645955287288,19371
26643.645955287288,19371
26643.645955287288,19371
26643.645955287288,19371
26643.645955287288,20391
26643.645955287288,20391
26643.645955287288,20391
26643.645955287288,22129
26643.645955287288,22129
26643.645955287288,23706
27141.675345411357,24425
26862.538594940503,24998
27141.675345411357,27495
27141.675345411357,28644
27141.675345411357,28922
27141.675345411357,29308
27141.675345411357,31445
27064.35539000614,26900
26509.964515179967,29882
27064.35539000614,31335
27064.35539000614,36065
27064.35539000614,35978
27064.35539000614,27295
26509.964515179967,29314
27064.35539000614,27610
27064.35539000614,27931
27064.35539000614,29467
27064.35539000614,25700
27064.35539000614,26385
27064.35539000614,31068
27064.35539000614,23405
27064.35539000614,23987
27064.35539000614,24425
27064.35539000614,24765
27064.35539000614,25785
27064.35539000614,26163
27064.35539000614,26499
27064.35539000614,26580
27064.35539000614,27562
27064.35539000614,27897
27064.35539000614,28161
27064.35539000614,28492
27064.35539000614,29257
26452.8520624517,23048
27064.35539000614,31523
27064.35539000614,34980
26452.8520624517,24254
26452.8520624517,24463
26452.8520624517,20741
26452.8520624517,23048
27141.675345411357,22879
27141.675345411357,22879
27141.675345411357,22879
27141.675345411357,23203
27141.675345411357,24474
27141.675345411357,26674
26509.964515179967,24905
26509.964515179967,24905
26452.8520624517,25955
26452.8520624517,28655
27141.675345411357,24599
27141.675345411357,24615
27141.675345411357,24615
26862.538594940503,25500
26643.645955287288,25955
26862.538594940503,26001
26862.538594940503,26103
26862.538594940503,26654
27141.675345411357,26675
27141.675345411357,27463
26643.645955287288,28195
27141.675345411357,28300
27141.675345411357,28995
27141.675345411357,29797
27141.675345411357,30450
27141.675345411357,30480
27141.675345411357,30965
27141.675345411357,26162
27064.35539000614,29051
26509.964515179967,29101
27064.35539000614,30540
27064.35539000614,30641
27064.35539000614,30879
27064.35539000614,30879
26509.964515179967,26880
27064.35539000614,29205
26509.964515179967,29800
26509.964515179967,29800
27064.35539000614,30545
27064.35539000614,30645
27064.35539000614,25067
27064.35539000614,26203
27064.35539000614,26462
27064.35539000614,26878
27064.35539000614,26972
27064.35539000614,27622
27064.35539000614,28863
26509.964515179967,29800
26509.964515179967,30089
26509.964515179967,26005
27064.35539000614,27485
26509.964515179967,29152
26509.964515179967,30495
26509.964515179967,30495
27064.35539000614,31005
27064.35539000614,26726
26509.964515179967,28374
27064.35539000614,26101
27064.35539000614,30008
27064.35539000614,28565
27064.35539000614,27297
27064.35539000614,27297
27064.35539000614,27297
27064.35539000614,28739
27064.35539000614,28739
27064.35539000614,30144
27064.35539000614,30245
27064.35539000614,27484
27064.35539000614,27601
27064.35539000614,28514
27064.35539000614,26682
27064.35539000614,23514
26452.8520624517,27681
27064.35539000614,26430
27064.35539000614,26430
27064.35539000614,31830
26643.645955287288,26196
27141.675345411357,29418
26643.645955287288,30425
26643.645955287288,30425
27141.675345411357,30823
27141.675345411357,30823
27141.675345411357,30823
26643.645955287288,30877
26785.218639535287,27645
26785.218639535287,27670
26785.218639535287,27670
26785.218639535287,27670
26785.218639535287,27770
26509.964515179967,32770
26785.218639535287,35870
26509.964515179967,30729
26509.964515179967,30823
26509.964515179967,31270
26509.964515179967,32670
26509.964515179967,32770
26452.8520624517,32770
26452.8520624517,32770
26452.8520624517,32770
26452.8520624517,30729
27141.675345411357,23167
26862.538594940503,31525
26785.218639535287,28875
26509.964515179967,28913
26509.964515179967,25225
26509.964515179967,31525
26509.964515179967,31525
26509.964515179967,24975
26452.8520624517,31525
26452.8520624517,31525
26452.8520624517,31525
26452.8520624517,24360
9980.789249601867,4997
9980.789249601867,5499
9980.789249601867,3200
9980.789249601867,5299
19627.48650357209,17916
9980.789249601867,9000
16665.02894472905,15000
15271.03763689921,17428
15784.999942399761,14536
17317.790164338294,25000
16696.59229414911,20990
16696.59229414911,20998
16409.57137046779,18199
11316.039447251038,14995
17345.979955879513,19110
16724.78208569033,20000
16724.78208569033,16300
17317.790164338294,26728
16287.326240272207,25990
21580.37036817475,23998
10877.879211573181,5750
16515.862108739577,11995
16515.862108739577,13300
16515.862108739577,13000
17079.59603151035,12990
16515.862108739577,13999
10877.879211573181,4995
10877.879211573181,7000
10877.879211573181,5499
15929.426616014814,7000
10877.879211573181,2995
10877.879211573181,4500
15929.426616014814,10238
12123.106970517158,6999
10877.879211573181,6900
10877.879211573181,4995
10877.879211573181,3800
19158.705124606808,15995
12363.527165973652,14900
24560.196390044057,16998
24560.196390044057,16998
17079.59603151035,15776
16515.862108739577,12995
10877.879211573181,8499
19248.530816947798,16500
17079.59603151035,16998
17079.59603151035,19000
15929.426616014814,15998
19742.331469006676,22725
18114.781722117405,18990
18204.60741445839,16338
18114.781722117405,17097
18114.781722117405,17791
17946.020553471262,16539
17079.59603151035,16639
17079.59603151035,16482
17079.59603151035,17900
16515.862108739577,18000
16515.862108739577,15579
16515.862108739577,17203
16515.862108739577,17992
16515.862108739577,17144
16515.862108739577,16998
16515.862108739577,15431
16515.862108739577,19204
16515.862108739577,16400
12363.527165973652,15900
12363.527165973652,14990
12123.106970517158,12995
10877.879211573181,11900
19832.157161347663,19990
19248.530816947798,20920
18204.60741445839,16998
17946.020553471262,16680
17946.020553471262,20568
16515.862108739577,15968
16515.862108739577,16400
16515.862108739577,15200
16515.862108739577,15998
16515.862108739577,17089
16515.862108739577,13960
15929.426616014814,17972
12363.527165973652,15997
20786.926639274552,19490
19069.551200044294,20697
19069.551200044294,20397
19069.551200044294,21498
17703.34642715478,18995
17703.34642715478,18989
17703.34642715478,19995
17703.34642715478,19995
17703.34642715478,18995
17139.612504384004,17197
21572.97020341375,24900
21483.144511072765,23000
20786.926639274552,22995
20786.926639274552,20495
20113.4746025337,24987
20113.4746025337,20590
19159.376892385284,19995
19069.551200044294,22976
18197.028942414116,20775
18286.854634755102,25997
18286.854634755102,19599
18197.028942414116,19990
17703.34642715478,21995
17703.34642715478,20892
17703.34642715478,19095
17703.34642715478,19200
17703.34642715478,19195
17139.612504384004,20495
17139.612504384004,18993
17139.612504384004,18295
17139.612504384004,20990
17139.612504384004,19924
16553.17701165924,21972
12943.573830242176,15995
20113.4746025337,23990
20203.300294874683,20998
19159.376892385284,21300
17703.34642715478,21100
17703.34642715478,18000
17139.612504384004,20012
16553.17701165924,18998
13183.99402569867,18113
21572.97020341375,25668
21572.97020341375,28640
20203.300294874683,19502
27319.96623069754,29051
