prediction,price
20113.4746025337,24000
21572.97020341375,38985
24907.677566114566,21059
24907.677566114566,25732
24907.677566114566,15000
24907.677566114566,15240
24907.677566114566,17340
24907.677566114566,17544
24907.677566114566,20035
24907.677566114566,20035
24907.677566114566,21540
24907.677566114566,21540
24770.631901553097,24211
24770.631901553097,24211
24770.631901553097,24211
24770.631901553097,24211
24770.631901553097,27507
24770.631901553097,19353
23719.503587136052,27190
23719.503587136052,23935
15271.03763689921,10950
17079.59603151035,10990
12123.106970517158,3985
19832.157161347663,16784
18204.60741445839,15995
12123.106970517158,7450
25395.10225578503,25333
25395.10225578503,27241
23913.661704425784,15684
23913.661704425784,16169
23913.661704425784,16550
23913.661704425784,16550
23913.661704425784,16590
23913.661704425784,16590
23913.661704425784,16590
23913.661704425784,16858
23913.661704425784,17073
23913.661704425784,17528
23913.661704425784,17528
23913.661704425784,17568
23913.661704425784,17568
23913.661704425784,17568
23913.661704425784,17568
23913.661704425784,17568
23913.661704425784,17818
23913.661704425784,17837
23913.661704425784,18002
23913.661704425784,18087
23913.661704425784,18256
23913.661704425784,18296
23913.661704425784,18561
23913.661704425784,18730
23913.661704425784,18770
23913.661704425784,18812
23913.661704425784,19036
23719.503587136052,17155
24907.677566114566,26690
24770.631901553097,25613
23776.61603986432,22380
24770.631901553097,20859
24770.631901553097,21317
24770.631901553097,21317
24770.631901553097,21317
24770.631901553097,22996
24770.631901553097,25982
24770.631901553097,21291
24770.631901553097,21376
20413.53006771129,16694
16515.862108739577,10998
23874.84352741846,17273
20528.37503314588,14899
20528.37503314588,15079
20528.37503314588,16354
20528.37503314588,16699
20528.37503314588,18548
19832.157161347663,11998
12123.106970517158,7716
23805.429988889053,16858
23668.384324327584,17690
17079.59603151035,8995
23913.661704425784,27775
24907.677566114566,28105
24907.677566114566,28105
23913.661704425784,29523
23913.661704425784,29523
23913.661704425784,29523
23913.661704425784,29523
23913.661704425784,30020
23913.661704425784,30081
23913.661704425784,30615
23913.661704425784,30848
24907.677566114566,33465
24907.677566114566,33465
24770.631901553097,25500
23776.61603986432,28064
24770.631901553097,23055
24770.631901553097,26870
24770.631901553097,28525
24770.631901553097,36905
23776.61603986432,25771
24770.631901553097,31715
24770.631901553097,25370
24770.631901553097,24729
24770.631901553097,25062
24770.631901553097,25519
24770.631901553097,29076
24770.631901553097,26890
24770.631901553097,26000
24770.631901553097,25575
24770.631901553097,28525
24770.631901553097,28040
24770.631901553097,24925
24098.486106228615,26840
23913.661704425784,28350
24907.677566114566,28680
23776.61603986432,26506
24770.631901553097,28240
24770.631901553097,32000
24770.631901553097,26578
24770.631901553097,27109
24770.631901553097,24672
24770.631901553097,27034
26643.645955287288,23061
26862.538594940503,27755
27141.675345411357,29542
27064.35539000614,20465
27064.35539000614,23271
27064.35539000614,23870
26452.8520624517,20664
27064.35539000614,24191
26452.8520624517,20664
26452.8520624517,24071
27064.35539000614,29595
26452.8520624517,25086
12123.106970517158,12261
21483.144511072765,18215
20786.926639274552,18980
13155.25256670987,8990
23913.661704425784,15495
23913.661704425784,15495
24907.677566114566,15495
24907.677566114566,15890
24907.677566114566,17395
23904.327988938883,17214
23776.61603986432,22177
23776.61603986432,22510
23913.661704425784,19495
23913.661704425784,22295
24098.486106228615,22451
24907.677566114566,23824
24907.677566114566,24195
24907.677566114566,24195
23913.661704425784,25501
24907.677566114566,25703
24907.677566114566,25735
24907.677566114566,25735
24907.677566114566,26390
23913.661704425784,26487
24907.677566114566,26710
24907.677566114566,27785
24907.677566114566,20082
24907.677566114566,21051
24907.677566114566,21580
24770.631901553097,19533
24770.631901553097,26324
23776.61603986432,16321
24770.631901553097,19939
24770.631901553097,22967
24770.631901553097,19140
24770.631901553097,19140
24770.631901553097,19231
24770.631901553097,20445
24770.631901553097,28339
23776.61603986432,21840
24770.631901553097,22513
23719.503587136052,19854
24770.631901553097,16943
24770.631901553097,17998
24770.631901553097,19372
24770.631901553097,20300
24770.631901553097,20488
24770.631901553097,20806
24770.631901553097,20806
24770.631901553097,21084
23719.503587136052,19406
24770.631901553097,22206
24770.631901553097,17999
24770.631901553097,23490
24770.631901553097,24309
24770.631901553097,19032
24770.631901553097,20488
24770.631901553097,20488
24770.631901553097,20488
24770.631901553097,20988
24770.631901553097,19312
24770.631901553097,20987
24770.631901553097,28000
24770.631901553097,25735
24770.631901553097,23025
24770.631901553097,20488
24770.631901553097,26644
23904.327988938883,23861
23719.503587136052,19749
23719.503587136052,20249
23719.503587136052,20249
23719.503587136052,20249
11354.132264358042,11900
11354.132264358042,9985
11354.132264358042,9795
11354.132264358042,7988
10008.979041143086,6395
19255.930981708796,17382
16665.02894472905,15999
11566.362668273316,10995
11566.362668273316,10395
9980.789249601867,6990
19255.930981708796,13590
15170.374658133782,12490
19627.48650357209,15825
18212.00757921939,16999
12052.13518223265,14597
19832.157161347663,12972
19742.331469006676,11992
12123.106970517158,7995
19158.705124606808,19454
12363.527165973652,8995
12219.944895588049,11987
12123.106970517158,9990
10877.879211573181,6995
20618.200725486866,17998
