prediction,price
27141.675345411357,51645
19159.376892385284,17999
17139.612504384004,16980
16515.862108739577,7995
24907.677566114566,23499
24907.677566114566,23499
24907.677566114566,25690
24907.677566114566,26430
23719.503587136052,16428
24770.631901553097,23545
11325.942472816823,5200
11566.362668273316,9995
16515.862108739577,7495
19158.705124606808,11599
17079.59603151035,15995
16515.862108739577,12777
15271.03763689921,7595
15929.426616014814,6200
12363.527165973652,5950
15929.426616014814,7995
19832.157161347663,11495
17079.59603151035,8802
15929.426616014814,6850
12123.106970517158,5995
12123.106970517158,7850
24907.677566114566,27095
24907.677566114566,29710
24907.677566114566,31300
24907.677566114566,35378
23776.61603986432,27740
23776.61603986432,29940
24770.631901553097,30360
24770.631901553097,25335
23776.61603986432,29190
24770.631901553097,25135
24770.631901553097,25135
24770.631901553097,25205
24770.631901553097,29940
24770.631901553097,31420
24530.03132174499,28105
23913.661704425784,26104
24907.677566114566,31885
27064.35539000614,24532
27064.35539000614,25045
26509.964515179967,28359
26452.8520624517,24222
27064.35539000614,24958
26452.8520624517,24222
27064.35539000614,24817
26452.8520624517,23668
27064.35539000614,23098
27064.35539000614,29239
27064.35539000614,29140
26452.8520624517,24074
26452.8520624517,22830
20618.200725486866,30698
14727.909785766766,10199
23913.661704425784,14395
23913.661704425784,14995
23913.661704425784,15890
23776.61603986432,15495
24770.631901553097,20674
24770.631901553097,20757
24770.631901553097,20889
23913.661704425784,19816
24907.677566114566,22964
23913.661704425784,23556
24770.631901553097,20985
23776.61603986432,20071
23776.61603986432,20071
23776.61603986432,23589
23776.61603986432,20071
23776.61603986432,20071
24770.631901553097,20985
23719.503587136052,21216
23719.503587136052,22890
23719.503587136052,23315
23719.503587136052,23315
23719.503587136052,23510
23719.503587136052,20071
24907.677566114566,18810
24907.677566114566,20060
24907.677566114566,20060
24907.677566114566,21760
24907.677566114566,22124
24907.677566114566,22324
24907.677566114566,22999
24907.677566114566,22999
24907.677566114566,24749
24907.677566114566,24749
24907.677566114566,24749
24907.677566114566,17475
24907.677566114566,17925
24907.677566114566,17925
24907.677566114566,17925
23913.661704425784,22145
23913.661704425784,22145
23913.661704425784,22960
23913.661704425784,24949
23913.661704425784,24949
23913.661704425784,25232
24770.631901553097,17125
24770.631901553097,17475
24770.631901553097,19260
24770.631901553097,20250
24770.631901553097,20750
24770.631901553097,20750
